Stadt,Anzahl_Firmen,lat,lon
Zülz,2,0,0
Korneuburg,2,0,0
Bärwalde,3,0,0
Düren,6,0,0
Miskolcz (Ungarn),2,0,0
Ottobeuren,2,0,0
M.Gladbach,3,0,0
Dornbirn,2,0,0
Woltersdorf,4,0,0
Pasing,4,0,0
Vaihingen,3,0,0
Birkenfeld,3,0,0
Wangen,4,0,0
Kairo (Aegypten),2,0,0
Gross-Gerau,2,0,0
Radebeul,33,0,0
später Frankfurt (Main),5,0,0
später Reichenberg,2,0,0
Ellrich,3,0,0
Gerolstein,2,0,0
Jülich,3,0,0
Lettland),12,0,0
Oberhof,2,0,0
später Zwickau,4,0,0
Weißenfels,7,0,0
Wittlich,4,0,0
Hof,6,50.31704368,11.91667802
Waldbröl,2,0,0
Stassfurt,5,0,0
Stavanger (Norwegen),3,0,0
Grevenbroich,4,0,0
Kettwig,2,0,0
Geislingen,5,0,0
Herne-Sodingen,2,0,0
Lahr,6,0,0
Cammin,3,0,0
Mittweida,18,0,0
später Lausanne (Schweiz),2,0,0
Teschechien),2,0,0
Tschechien,2,0,0
